"Reference","Value","Datasheet","Footprint","Qty","Mfr. Part #","LCSC #","DigiKey #","Mouser #","Price"
"BT101","303030 Li-Po","~","Connector_Wire:SolderWire-0.25sqmm_1x02_P4.5mm_D0.65mm_OD2mm","1","","","","",""
"C301,C302","4.7uF","https://datasheet.lcsc.com/lcsc/1811081617_Murata-Electronics-GRM155R61A475KEAAD_C77004.pdf","Capacitor_SMD:C_0402_1005Metric","2","GRM155R61A475KEAAD","C77004","NA","NA","0.0147"
"C303,C401,C402,C602,C603,C607,C608,C701,C704,C1201,C1202,C1301,C1401,C1403","0.1uF","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GRM155R61H104JE14D_C426067.pdf","Capacitor_SMD:C_0402_1005Metric","14","GRM155R61H104JE14D","C426067","490-16356-1-ND","81-GRM155R61H104JE4D ","0.0068"
"C403,C404,C604,C1404","10uF","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GRM155R61A106ME11D_C408132.pdf","Capacitor_SMD:C_0402_1005Metric","4","GRM155R61A106ME11D","C408132","490-GRM155R61A106ME11DCT-ND","81-GRM155R61A106ME1D","0.0129"
"C605,C606,C702,C703,C801","1uF","https://datasheet.lcsc.com/lcsc/1811081616_Murata-Electronics-GRM155R61E105KA12D_C77009.pdf","Capacitor_SMD:C_0402_1005Metric","5","GRM155R61E105KA12D","C77009","490-10017-1-ND","81-GRM155R61E105KA2D","0.0067"
"C901,C902","10pF","https://datasheet.lcsc.com/lcsc/1811081611_Murata-Electronics-GRM1555C1H100JA01D_C76946.pdf","Capacitor_SMD:C_0402_1005Metric","2","GRM1555C1H100JA01D","C76946","490-5921-1-ND","81-GRM1555C1H100JA1D","0.0023"
"C1001","8.2pF","https://datasheet.lcsc.com/lcsc/1811081615_Murata-Electronics-GRM1555C1H8R2CA01D_C76984.pdf","Capacitor_SMD:C_0402_1005Metric","1","GRM1555C1H8R2CA01D","C76984","490-6256-1-ND","81-GRM1555C1H8R2CA1D ","0.0032"
"C1002","3.6pF","https://datasheet.lcsc.com/lcsc/2201131300_Murata-Electronics-GRM1555C1H3R6CA01D_C913745.pdf","Capacitor_SMD:C_0402_1005Metric","1","GRM1555C1H3R6CA01D","C913745","490-5939-1-ND","81-GRM1555C1H3R6CA1D ","0.0044"
"C1003,C1004","1.7pF","https://datasheet.lcsc.com/lcsc/2210251230_Murata-Electronics-GJM1555C1H1R7BB01D_C161313.pdf","Capacitor_SMD:C_0402_1005Metric","2","GJM1555C1H1R7BB01D","C161313","490-6074-1-ND","81-GJM1555C1H1R7BB1D","0.0277"
"C1101,C1102","NC/TBD","~","Capacitor_SMD:C_0402_1005Metric","2","","","","",""
"C1402","200pF","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GCM1555C1H201JA16D_C710649.pdf","Capacitor_SMD:C_0402_1005Metric","1","GCM1555C1H201JA16D","C710649","490-GCM1555C1H201JA16DCT-ND","81-GCM1555C1H201JA6D","0.0122"
"CR601","PESD3V3Y1BSFYL","https://datasheet.lcsc.com/lcsc/2006101608_Nexperia-PESD4V0Y1BSFYL_C552545.pdf","SOD962-2_DSN0603-2_NEX","1","PESD4V0Y1BSFYL","C552545","1727-7840-1-ND"," 771-PESD4V0Y1BSFYL ","0.0904"
"D1301","SK6805-EC20","https://datasheet.lcsc.com/lcsc/2108251530_OPSCO-Optoelectronics-SK6805-EC20_C2890036.pdf","LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm","1","SK6805-EC20","C2890036","NA","NA","0.2103"
"E1001","2450AT42E010BE","https://www.johansontechnology.com/datasheets/2450AT42E010B/2450AT42E010B.pdf","2450AT42E010BE:XDCR_2450AT42E010BE","1","2450AT42E010B001E","C17243480","712-2450AT42E010B001ECT-ND","609-2450AT42E010BE","0.72"
"F201","Polyfuse","https://datasheet.lcsc.com/lcsc/2309211851_LUTE-0805L200SL9AR_C18198356.pdf","Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","0805L200SL9AR","C18198356","NA","NA","0.1019"
"IC701","W25Q16JWXHIQ_TR","https://www.winbond.com/resource-files/W25Q16JW%20RevF%2008122020%20Plus.pdf","SON50P300X200X40-9N","1","W25Q16JWXHIQ TR","C2835333","256-W25Q16JWXHIQTRCT-ND"," 454-W25Q16JWXHIQTR ","0.69"
"J201","USB_C_Receptacle_USB2.0","https://datasheet.lcsc.com/lcsc/2111231930_SHOU-HAN-TYPE-C-16PIN-2MD-073_C2765186.pdf","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","1","TYPE-C 16PIN 2MD(073)","C2765186","NA","NA","0.56"
